Page,Clicks,Impressions,CTR,Position
"https://spotonauto.com/repair/1991/ford/f-150/cabin-air-filter-replacement",1,8,12.50%,5.4
"https://spotonauto.com/repair/1991/jeep/wrangler/cabin-air-filter-replacement",1,1,100.00%,7.0
"https://spotonauto.com/repair/1991/jeep/wrangler/thermostat-replacement",1,5,20.00%,6.8
"https://spotonauto.com/repair/1991/toyota/camry/brake-rotor-replacement",1,3,33.33%,4.7
"https://spotonauto.com/repair/1992/bmw/5-series/headlight-bulb-replacement",1,1,100.00%,2.0
"https://spotonauto.com/repair/1992/bmw/5-series/oil-change",1,1,100.00%,4.0
"https://spotonauto.com/repair/1992/chevrolet/silverado/battery-replacement",1,2,50.00%,3.0
"https://spotonauto.com/repair/1992/chevrolet/silverado/headlight-bulb-replacement",1,2,50.00%,10.0
"https://spotonauto.com/repair/1992/chevrolet/silverado/spark-plug-replacement",1,5,20.00%,4.4
"https://spotonauto.com/repair/1992/chevrolet/suburban/thermostat-replacement",1,3,33.33%,4.3
"https://spotonauto.com/repair/1992/ford/explorer/spark-plug-replacement",1,1,100.00%,4.0
"https://spotonauto.com/repair/1992/honda/accord/brake-pad-replacement",1,2,50.00%,4.5
"https://spotonauto.com/repair/1992/honda/civic/brake-pad-replacement",1,1,100.00%,2.0
"https://spotonauto.com/repair/1992/nissan/sentra/oil-change",1,3,33.33%,3.3
"https://spotonauto.com/repair/1992/nissan/sentra/starter-replacement",1,9,11.11%,6.9
"https://spotonauto.com/repair/1993/bmw/5-series/headlight-bulb-replacement",1,1,100.00%,4.0
"https://spotonauto.com/repair/1993/bmw/5-series/spark-plug-replacement",1,1,100.00%,6.0
"https://spotonauto.com/repair/1993/ford/explorer/brake-pad-replacement",1,1,100.00%,15.0
"https://spotonauto.com/repair/1993/ford/f-150/thermostat-replacement",1,20,5.00%,8.3
"https://spotonauto.com/repair/1993/honda/accord/battery-replacement",1,4,25.00%,10.3
"https://spotonauto.com/repair/1993/nissan/sentra/alternator-replacement",1,24,4.17%,9.0
"https://spotonauto.com/repair/1993/nissan/sentra/serpentine-belt-replacement",1,22,4.55%,4.1
"https://spotonauto.com/repair/1993/toyota/camry/brake-rotor-replacement",1,1,100.00%,2.0
"https://spotonauto.com/repair/1993/toyota/corolla/cabin-air-filter-replacement",1,15,6.67%,5.9
"https://spotonauto.com/repair/1993/toyota/corolla/headlight-bulb-replacement",1,1,100.00%,5.0
"https://spotonauto.com/repair/1994/chevrolet/silverado/water-pump-replacement",1,29,3.45%,6.1
"https://spotonauto.com/repair/1994/ford/f-150/thermostat-replacement",1,9,11.11%,6.6
"https://spotonauto.com/repair/1994/ford/mustang/battery-replacement",1,8,12.50%,15.1
"https://spotonauto.com/repair/1994/honda/accord/brake-rotor-replacement",1,4,25.00%,8.3
"https://spotonauto.com/repair/1994/jeep/grand-cherokee/serpentine-belt-replacement",1,6,16.67%,11.5
"https://spotonauto.com/repair/1994/nissan/altima/cabin-air-filter-replacement",1,2,50.00%,4.0
"https://spotonauto.com/repair/1994/nissan/pathfinder/alternator-replacement",1,1,100.00%,2.0
"https://spotonauto.com/repair/1994/toyota/corolla/cabin-air-filter-replacement",1,15,6.67%,7.1
"https://spotonauto.com/repair/1994/toyota/rav4/water-pump-replacement",1,2,50.00%,6.0
"https://spotonauto.com/repair/1995/ford/f-150/brake-rotor-replacement",1,6,16.67%,9.3
"https://spotonauto.com/repair/1995/ford/f-150/starter-replacement",1,9,11.11%,7.9
"https://spotonauto.com/repair/1995/honda/civic/spark-plug-replacement",1,6,16.67%,6.7
"https://spotonauto.com/repair/1995/honda/cr-v/alternator-replacement",1,3,33.33%,8.7
"https://spotonauto.com/repair/1995/honda/odyssey/battery-replacement",1,3,33.33%,33.0
"https://spotonauto.com/repair/1995/honda/odyssey/thermostat-replacement",1,3,33.33%,35.7
"https://spotonauto.com/repair/1995/hyundai/sonata/oil-change",1,1,100.00%,3.0
"https://spotonauto.com/repair/1995/jeep/cherokee/alternator-replacement",1,3,33.33%,9.3
"https://spotonauto.com/repair/1995/jeep/cherokee/brake-rotor-replacement",1,3,33.33%,11.3
"https://spotonauto.com/repair/1995/mercedes/c-class/battery-replacement",1,5,20.00%,6.8
"https://spotonauto.com/repair/1995/nissan/pathfinder/cabin-air-filter-replacement",1,4,25.00%,4.0
"https://spotonauto.com/repair/1995/toyota/corolla/cabin-air-filter-replacement",1,18,5.56%,11.4
"https://spotonauto.com/repair/1995/toyota/corolla/serpentine-belt-replacement",1,21,4.76%,15.2
"https://spotonauto.com/repair/1995/toyota/tacoma/thermostat-replacement",1,8,12.50%,11.5
"https://spotonauto.com/repair/1996/chevrolet/impala/starter-replacement",1,8,12.50%,4.9
"https://spotonauto.com/repair/1996/ford/f-150/oil-change",1,14,7.14%,8.1
"https://spotonauto.com/repair/1996/honda/accord/water-pump-replacement",1,11,9.09%,6.7
"https://spotonauto.com/repair/1996/honda/civic/battery-replacement",1,3,33.33%,5.0
"https://spotonauto.com/repair/1996/honda/civic/brake-rotor-replacement",1,14,7.14%,17.6
"https://spotonauto.com/repair/1996/honda/civic/water-pump-replacement",1,12,8.33%,8.1
"https://spotonauto.com/repair/1996/hyundai/sonata/thermostat-replacement",1,2,50.00%,4.0
"https://spotonauto.com/repair/1996/nissan/pathfinder/starter-replacement",1,13,7.69%,7.8
"https://spotonauto.com/repair/1996/nissan/sentra/headlight-bulb-replacement",1,11,9.09%,2.5
"https://spotonauto.com/repair/1996/subaru/outback/serpentine-belt-replacement",1,3,33.33%,5.0
"https://spotonauto.com/repair/1996/toyota/camry/starter-replacement",1,6,16.67%,26.0
"https://spotonauto.com/repair/1996/toyota/rav4/alternator-replacement",1,6,16.67%,5.0
"https://spotonauto.com/repair/1996/toyota/rav4/brake-pad-replacement",1,3,33.33%,7.3
"https://spotonauto.com/repair/1996/toyota/rav4/headlight-bulb-replacement",1,5,20.00%,7.2
"https://spotonauto.com/repair/1996/toyota/tacoma/alternator-replacement",1,18,5.56%,8.2
"https://spotonauto.com/repair/1997/chevrolet/malibu/oil-change",1,3,33.33%,3.7
"https://spotonauto.com/repair/1997/ford/f-150/starter-replacement",1,7,14.29%,19.1
"https://spotonauto.com/repair/1997/ford/mustang/battery-replacement",1,3,33.33%,5.3
"https://spotonauto.com/repair/1997/honda/cr-v/alternator-replacement",1,13,7.69%,7.5
"https://spotonauto.com/repair/1997/honda/cr-v/headlight-bulb-replacement",1,5,20.00%,11.2
"https://spotonauto.com/repair/1997/hyundai/sonata/serpentine-belt-replacement",1,10,10.00%,7.3
"https://spotonauto.com/repair/1997/hyundai/sonata/starter-replacement",1,2,50.00%,4.0
"https://spotonauto.com/repair/1997/jeep/cherokee/brake-rotor-replacement",1,8,12.50%,9.1
"https://spotonauto.com/repair/1997/mercedes/c-class/starter-replacement",1,4,25.00%,2.5
"https://spotonauto.com/repair/1997/mercedes/e-class/headlight-bulb-replacement",1,1,100.00%,11.0
"https://spotonauto.com/repair/1997/nissan/pathfinder/starter-replacement",1,14,7.14%,13.4
"https://spotonauto.com/repair/1997/nissan/sentra/serpentine-belt-replacement",1,3,33.33%,6.7
"https://spotonauto.com/repair/1997/subaru/forester/spark-plug-replacement",1,3,33.33%,16.7
"https://spotonauto.com/repair/1997/toyota/corolla/brake-pad-replacement",1,8,12.50%,7.5
"https://spotonauto.com/repair/1997/toyota/rav4/headlight-bulb-replacement",1,18,5.56%,8.2
"https://spotonauto.com/repair/1997/toyota/tacoma/water-pump-replacement",1,3,33.33%,20.0
"https://spotonauto.com/repair/1998/chevrolet/silverado/battery-replacement",1,17,5.88%,9.6
"https://spotonauto.com/repair/1998/ford/edge/water-pump-replacement",1,1,100.00%,3.0
"https://spotonauto.com/repair/1998/hyundai/sonata/serpentine-belt-replacement",1,3,33.33%,8.7
"https://spotonauto.com/repair/1998/jeep/cherokee/radiator-replacement",1,25,4.00%,7.0
"https://spotonauto.com/repair/1998/nissan/sentra/cabin-air-filter-replacement",1,5,20.00%,5.2
"https://spotonauto.com/repair/1998/nissan/sentra/spark-plug-replacement",1,9,11.11%,5.4
"https://spotonauto.com/repair/1998/toyota/corolla/alternator-replacement",1,10,10.00%,6.1
"https://spotonauto.com/repair/1998/toyota/rav4/headlight-bulb-replacement",1,4,25.00%,5.5
"https://spotonauto.com/repair/1998/toyota/rav4/thermostat-replacement",1,10,10.00%,6.6
"https://spotonauto.com/repair/1998/toyota/sienna/thermostat-replacement",1,7,14.29%,6.0
"https://spotonauto.com/repair/1999/chevrolet/suburban/cabin-air-filter-replacement",1,4,25.00%,8.3
"https://spotonauto.com/repair/1999/chevrolet/tahoe/alternator-replacement",1,3,33.33%,6.7
"https://spotonauto.com/repair/1999/ford/explorer/cabin-air-filter-replacement",1,4,25.00%,9.3
"https://spotonauto.com/repair/1999/ford/explorer/headlight-bulb-replacement",1,5,20.00%,24.0
"https://spotonauto.com/repair/1999/ford/explorer/thermostat-replacement",1,12,8.33%,7.2
"https://spotonauto.com/repair/1999/ford/f-150/brake-rotor-replacement",1,6,16.67%,6.0
"https://spotonauto.com/repair/1999/ford/f-150/radiator-replacement",1,3,33.33%,11.0
"https://spotonauto.com/repair/1999/honda/civic/brake-pad-replacement",1,4,25.00%,6.5
"https://spotonauto.com/repair/1999/honda/cr-v/thermostat-replacement",1,15,6.67%,6.9
"https://spotonauto.com/repair/1999/honda/odyssey/serpentine-belt-replacement",1,4,25.00%,6.5
"https://spotonauto.com/repair/1999/honda/odyssey/spark-plug-replacement",1,3,33.33%,7.3
"https://spotonauto.com/repair/1999/hyundai/elantra/brake-rotor-replacement",1,2,50.00%,3.5
"https://spotonauto.com/repair/1999/nissan/pathfinder/radiator-replacement",1,2,50.00%,8.5
"https://spotonauto.com/repair/1999/nissan/pathfinder/spark-plug-replacement",1,11,9.09%,6.1
"https://spotonauto.com/repair/1999/subaru/forester/engine-air-filter-replacement",1,6,16.67%,6.8
"https://spotonauto.com/repair/1999/subaru/forester/spark-plug-replacement",1,1,100.00%,13.0
"https://spotonauto.com/repair/1999/toyota/camry/brake-pad-replacement",1,9,11.11%,7.2
"https://spotonauto.com/repair/1999/toyota/rav4/starter-replacement",1,15,6.67%,4.8
"https://spotonauto.com/repair/1999/toyota/tundra/headlight-bulb-replacement",1,1,100.00%,4.0
"https://spotonauto.com/repair/2000/bmw/5-series/cabin-air-filter-replacement",1,1,100.00%,8.0
"https://spotonauto.com/repair/2000/chevrolet/impala/battery-replacement",1,16,6.25%,10.6
"https://spotonauto.com/repair/2000/chevrolet/impala/radiator-replacement",1,3,33.33%,6.3
"https://spotonauto.com/repair/2000/chevrolet/malibu/water-pump-replacement",1,6,16.67%,4.2
"https://spotonauto.com/repair/2000/ford/f-150/alternator-replacement",1,6,16.67%,28.8
"https://spotonauto.com/repair/2000/ford/mustang/cabin-air-filter-replacement",1,6,16.67%,5.7
"https://spotonauto.com/repair/2000/honda/civic/starter-replacement",1,20,5.00%,11.3
"https://spotonauto.com/repair/2000/honda/cr-v/starter-replacement",1,13,7.69%,8.6
"https://spotonauto.com/repair/2000/hyundai/elantra/starter-replacement",1,15,6.67%,4.9
"https://spotonauto.com/repair/2000/jeep/cherokee/oil-change",1,1,100.00%,7.0
"https://spotonauto.com/repair/2000/jeep/grand-cherokee/alternator-replacement",1,8,12.50%,10.1
"https://spotonauto.com/repair/2000/jeep/grand-cherokee/cabin-air-filter-replacement",1,15,6.67%,8.4
"https://spotonauto.com/repair/2000/mercedes/e-class/water-pump-replacement",1,11,9.09%,8.4
"https://spotonauto.com/repair/2000/toyota/rav4/spark-plug-replacement",1,17,5.88%,5.4
"https://spotonauto.com/repair/2000/toyota/tacoma/thermostat-replacement",1,20,5.00%,7.4
"https://spotonauto.com/repair/2001/chevrolet/impala/oil-change",1,12,8.33%,6.8
"https://spotonauto.com/repair/2001/honda/pilot/battery-replacement",1,11,9.09%,14.2
"https://spotonauto.com/repair/2001/hyundai/sonata/brake-pad-replacement",1,2,50.00%,2.0
"https://spotonauto.com/repair/2001/kia/sportage/spark-plug-replacement",1,12,8.33%,6.3
"https://spotonauto.com/repair/2001/nissan/pathfinder/water-pump-replacement",1,17,5.88%,15.2
"https://spotonauto.com/repair/2001/nissan/versa/brake-pad-replacement",1,1,100.00%,11.0
"https://spotonauto.com/repair/2001/subaru/forester/brake-pad-replacement",1,6,16.67%,8.5
"https://spotonauto.com/repair/2001/toyota/corolla/radiator-replacement",1,3,33.33%,4.7
"https://spotonauto.com/repair/2002/bmw/5-series/starter-replacement",1,6,16.67%,7.2
"https://spotonauto.com/repair/2002/chevrolet/equinox/water-pump-replacement",1,1,100.00%,2.0
"https://spotonauto.com/repair/2002/chevrolet/suburban/spark-plug-replacement",1,9,11.11%,8.1
"https://spotonauto.com/repair/2002/chevrolet/tahoe/battery-replacement",1,6,16.67%,5.5
"https://spotonauto.com/repair/2002/chevrolet/tahoe/radiator-replacement",1,21,4.76%,10.3
"https://spotonauto.com/repair/2002/chevrolet/tahoe/thermostat-replacement",1,14,7.14%,6.7
"https://spotonauto.com/repair/2002/ford/explorer/starter-replacement",1,3,33.33%,10.7
"https://spotonauto.com/repair/2002/ford/focus/spark-plug-replacement",1,3,33.33%,8.0
"https://spotonauto.com/repair/2002/honda/odyssey/water-pump-replacement",1,6,16.67%,4.8
"https://spotonauto.com/repair/2002/hyundai/elantra/serpentine-belt-replacement",1,8,12.50%,7.3
"https://spotonauto.com/repair/2002/mercedes/c-class/spark-plug-replacement",1,1,100.00%,13.0
"https://spotonauto.com/repair/2002/mercedes/c-class/water-pump-replacement",1,15,6.67%,9.2
"https://spotonauto.com/repair/2002/mercedes/gle/oil-change",1,1,100.00%,3.0
"https://spotonauto.com/repair/2002/nissan/sentra/brake-pad-replacement",1,2,50.00%,5.5
"https://spotonauto.com/repair/2002/nissan/sentra/starter-replacement",1,18,5.56%,5.6
"https://spotonauto.com/repair/2002/subaru/forester/starter-replacement",1,19,5.26%,9.7
"https://spotonauto.com/repair/2002/subaru/outback/water-pump-replacement",1,7,14.29%,6.9
"https://spotonauto.com/repair/2002/toyota/corolla/brake-pad-replacement",1,26,3.85%,10.3
"https://spotonauto.com/repair/2002/toyota/prius/oil-change",1,4,25.00%,5.8
"https://spotonauto.com/repair/2002/toyota/prius/serpentine-belt-replacement",1,7,14.29%,7.7
"https://spotonauto.com/repair/2002/toyota/rav4/brake-pad-replacement",1,6,16.67%,6.8
"https://spotonauto.com/repair/2002/toyota/rav4/starter-replacement",1,10,10.00%,5.5
"https://spotonauto.com/repair/2002/toyota/tundra/oil-change",1,4,25.00%,19.8
"https://spotonauto.com/repair/2003/bmw/3-series/thermostat-replacement",1,3,33.33%,8.0
"https://spotonauto.com/repair/2003/bmw/x3/starter-replacement",1,11,9.09%,9.8
"https://spotonauto.com/repair/2003/ford/escape/oil-change",1,9,11.11%,8.3
"https://spotonauto.com/repair/2003/honda/cr-v/thermostat-replacement",1,19,5.26%,7.4
"https://spotonauto.com/repair/2003/hyundai/elantra/alternator-replacement",1,19,5.26%,5.4
"https://spotonauto.com/repair/2003/hyundai/elantra/headlight-bulb-replacement",1,26,3.85%,8.9
"https://spotonauto.com/repair/2003/jeep/grand-cherokee/oil-change",1,4,25.00%,6.5
"https://spotonauto.com/repair/2003/jeep/grand-cherokee/serpentine-belt-replacement",1,3,33.33%,11.0
"https://spotonauto.com/repair/2003/jeep/grand-cherokee/water-pump-replacement",1,25,4.00%,5.9
"https://spotonauto.com/repair/2003/kia/optima/radiator-replacement",1,1,100.00%,4.0
"https://spotonauto.com/repair/2003/kia/sportage/serpentine-belt-replacement",1,1,100.00%,5.0
"https://spotonauto.com/repair/2003/mercedes/c-class/brake-rotor-replacement",1,1,100.00%,303.0
"https://spotonauto.com/repair/2003/nissan/pathfinder/alternator-replacement",1,23,4.35%,6.0
"https://spotonauto.com/repair/2003/nissan/pathfinder/cabin-air-filter-replacement",1,15,6.67%,7.3
"https://spotonauto.com/repair/2003/toyota/corolla/thermostat-replacement",1,47,2.13%,7.4
"https://spotonauto.com/repair/2003/toyota/rav4/starter-replacement",1,7,14.29%,6.3
"https://spotonauto.com/repair/2003/toyota/rav4/water-pump-replacement",1,9,11.11%,6.3
"https://spotonauto.com/repair/2003/toyota/tundra/water-pump-replacement",1,5,20.00%,11.4
"https://spotonauto.com/repair/2004/bmw/5-series/alternator-replacement",1,3,33.33%,10.0
"https://spotonauto.com/repair/2004/bmw/x5/starter-replacement",1,5,20.00%,7.2
"https://spotonauto.com/repair/2004/bmw/x5/thermostat-replacement",1,3,33.33%,41.0
"https://spotonauto.com/repair/2004/chevrolet/impala/spark-plug-replacement",1,18,5.56%,9.2
"https://spotonauto.com/repair/2004/chevrolet/silverado/alternator-replacement",1,7,14.29%,9.6
"https://spotonauto.com/repair/2004/chevrolet/suburban/alternator-replacement",1,4,25.00%,11.3
"https://spotonauto.com/repair/2004/ford/focus/radiator-replacement",1,8,12.50%,5.4
"https://spotonauto.com/repair/2004/ford/focus/serpentine-belt-replacement",1,4,25.00%,7.5
"https://spotonauto.com/repair/2004/ford/fusion/engine-air-filter-replacement",1,4,25.00%,10.0
"https://spotonauto.com/repair/2004/ford/mustang/starter-replacement",1,13,7.69%,9.8
"https://spotonauto.com/repair/2004/honda/accord/alternator-replacement",1,4,25.00%,10.3
"https://spotonauto.com/repair/2004/honda/accord/thermostat-replacement",1,25,4.00%,8.2
"https://spotonauto.com/repair/2004/honda/civic/alternator-replacement",1,12,8.33%,12.3
"https://spotonauto.com/repair/2004/honda/civic/engine-air-filter-replacement",1,1,100.00%,25.0
"https://spotonauto.com/repair/2004/honda/cr-v/water-pump-replacement",1,5,20.00%,5.6
"https://spotonauto.com/repair/2004/honda/odyssey/starter-replacement",1,14,7.14%,7.4
"https://spotonauto.com/repair/2004/hyundai/elantra/thermostat-replacement",1,9,11.11%,7.9
"https://spotonauto.com/repair/2004/hyundai/sonata/cabin-air-filter-replacement",1,4,25.00%,7.5
"https://spotonauto.com/repair/2004/hyundai/sonata/serpentine-belt-replacement",1,10,10.00%,9.0
"https://spotonauto.com/repair/2004/kia/optima/cabin-air-filter-replacement",1,8,12.50%,6.9
"https://spotonauto.com/repair/2004/kia/optima/starter-replacement",1,17,5.88%,4.8
"https://spotonauto.com/repair/2004/nissan/pathfinder/brake-rotor-replacement",1,9,11.11%,5.0
"https://spotonauto.com/repair/2004/nissan/pathfinder/thermostat-replacement",1,5,20.00%,4.2
"https://spotonauto.com/repair/2004/nissan/sentra/thermostat-replacement",1,2,50.00%,5.5
"https://spotonauto.com/repair/2004/toyota/highlander/oil-change",1,25,4.00%,8.5
"https://spotonauto.com/repair/2004/toyota/highlander/starter-replacement",1,21,4.76%,6.0
"https://spotonauto.com/repair/2004/toyota/sienna/starter-replacement",1,9,11.11%,7.4
"https://spotonauto.com/repair/2004/toyota/tacoma/spark-plug-replacement",1,5,20.00%,8.8
"https://spotonauto.com/repair/2005/chevrolet/tahoe/alternator-replacement",1,3,33.33%,7.3
"https://spotonauto.com/repair/2005/ford/escape/spark-plug-replacement",1,2,50.00%,10.0
"https://spotonauto.com/repair/2005/honda/cr-v/starter-replacement",1,14,7.14%,7.5
"https://spotonauto.com/repair/2005/honda/fit/thermostat-replacement",1,4,25.00%,11.0
"https://spotonauto.com/repair/2005/hyundai/santa-fe/starter-replacement",1,4,25.00%,6.8
"https://spotonauto.com/repair/2005/hyundai/santa-fe/thermostat-replacement",1,8,12.50%,31.5
"https://spotonauto.com/repair/2005/hyundai/tucson/starter-replacement",1,15,6.67%,7.5
"https://spotonauto.com/repair/2005/hyundai/tucson/water-pump-replacement",1,11,9.09%,5.9
"https://spotonauto.com/repair/2005/kia/optima/spark-plug-replacement",1,1,100.00%,2.0
"https://spotonauto.com/repair/2005/kia/sorento/brake-pad-replacement",1,7,14.29%,4.4
"https://spotonauto.com/repair/2005/kia/sorento/radiator-replacement",1,22,4.55%,11.1
"https://spotonauto.com/repair/2005/mercedes/c-class/radiator-replacement",1,5,20.00%,6.6
"https://spotonauto.com/repair/2005/mercedes/c-class/starter-replacement",1,9,11.11%,8.4
"https://spotonauto.com/repair/2005/nissan/sentra/battery-replacement",1,16,6.25%,9.4
"https://spotonauto.com/repair/2005/subaru/forester/alternator-replacement",1,7,14.29%,7.3
